epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,946.007,1.75125,0.23341,0.55042,0.21935,0.17555,0.08675,0.02408,1.82138,0.22661,0.5279,0.000666,0.000666,0.000666
2,1913.24,1.62885,0.26348,0.45759,0.17817,0.20163,0.06891,0.01518,1.70957,0.24711,0.46655,0.00120073,0.00120073,0.00120073
3,2848.32,1.66837,0.24932,0.47447,0.09969,0.18912,0.03046,0.00667,1.84063,0.22035,0.52167,0.00160347,0.00160347,0.00160347
4,3766.65,1.69441,0.24523,0.48597,0.1532,0.15541,0.04433,0.01259,1.80758,0.21286,0.58831,0.001406,0.001406,0.001406
5,4704.64,1.64323,0.25204,0.44886,0.19353,0.21174,0.07442,0.01703,1.69886,0.25442,0.46204,0.001208,0.001208,0.001208
6,5641.91,1.63441,0.26038,0.44984,0.18958,0.1744,0.06196,0.01585,1.70392,0.22919,0.53213,0.00101,0.00101,0.00101
7,6568.99,1.63438,0.25524,0.44408,0.20892,0.1934,0.07893,0.01954,1.68795,0.23614,0.50446,0.000812,0.000812,0.000812
8,7486.8,1.59972,0.26526,0.4403,0.2256,0.19425,0.08749,0.02246,1.65901,0.24487,0.47247,0.000614,0.000614,0.000614
9,8394.52,1.54189,0.27987,0.40823,0.2403,0.22314,0.09721,0.02702,1.58473,0.26237,0.45863,0.000416,0.000416,0.000416
10,9310.66,1.50998,0.28511,0.39106,0.25405,0.24213,0.11562,0.03075,1.57827,0.27218,0.41227,0.000218,0.000218,0.000218
