epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.379,1.93688,1.31264,1.20087,0.70091,0.6095,0.64227,0.3153,1.722,1.07171,1.14336,0.000332,0.000332,0.067132
2,931.213,1.77118,1.04388,1.1246,0.7565,0.67323,0.70901,0.36494,1.60622,0.95344,1.08319,0.000632399,0.000632399,0.0340991
3,1398.14,1.71182,0.98677,1.09649,0.76384,0.67587,0.71132,0.37711,1.58081,0.91827,1.07975,0.000899799,0.000899799,0.00103313
4,1867.22,1.6762,0.95399,1.08401,0.76849,0.6916,0.73225,0.39036,1.56102,0.89514,1.06798,0.0008515,0.0008515,0.0008515
5,2280.79,1.66414,0.93118,1.08025,0.79521,0.70698,0.75163,0.4104,1.5414,0.85145,1.06275,0.000802,0.000802,0.000802
6,2689.49,1.63378,0.89583,1.06095,0.80481,0.71308,0.76564,0.4204,1.51641,0.83834,1.05105,0.0007525,0.0007525,0.0007525
7,3095.05,1.61425,0.88388,1.05871,0.80502,0.7171,0.76499,0.41996,1.52743,0.83434,1.04989,0.000703,0.000703,0.000703
8,3505.54,1.60235,0.86236,1.052,0.80324,0.71824,0.76804,0.42532,1.49329,0.81765,1.04189,0.0006535,0.0006535,0.0006535
9,3909.39,1.59261,0.858,1.05018,0.82105,0.73525,0.78699,0.43697,1.49552,0.79396,1.04005,0.000604,0.000604,0.000604
10,4314.59,1.57579,0.84532,1.04361,0.81317,0.73949,0.79123,0.44331,1.47764,0.78539,1.03126,0.0005545,0.0005545,0.0005545
11,4645.9,1.54278,0.87151,1.05912,0.82288,0.74941,0.79449,0.44605,1.4607,0.79112,1.02605,0.000505,0.000505,0.000505
12,4979.8,1.54644,0.84248,1.05343,0.82606,0.7452,0.79572,0.44745,1.47578,0.77891,1.02831,0.0004555,0.0004555,0.0004555
13,5313.7,1.52004,0.82002,1.04119,0.82152,0.74523,0.79409,0.44561,1.47722,0.77664,1.02827,0.000406,0.000406,0.000406
14,5647.54,1.51656,0.80918,1.03886,0.82552,0.74553,0.79843,0.45284,1.45784,0.76607,1.01962,0.0003565,0.0003565,0.0003565
15,5979.14,1.50274,0.79206,1.03332,0.8304,0.751,0.80132,0.45053,1.46798,0.7631,1.02673,0.000307,0.000307,0.000307
16,6313.22,1.50203,0.79264,1.03403,0.82565,0.75555,0.80505,0.4587,1.45223,0.75299,1.01614,0.0002575,0.0002575,0.0002575
17,6645.96,1.49599,0.7835,1.02995,0.83077,0.76449,0.81107,0.46137,1.46126,0.74126,1.01837,0.000208,0.000208,0.000208
18,6977.19,1.48483,0.77876,1.02964,0.84268,0.77004,0.81566,0.46591,1.44507,0.73291,1.01565,0.0001585,0.0001585,0.0001585
19,7308.54,1.49141,0.76905,1.02923,0.84333,0.7659,0.81551,0.46787,1.44281,0.73206,1.01494,0.000109,0.000109,0.000109
20,7640.32,1.47153,0.76094,1.02394,0.84268,0.76766,0.81641,0.46951,1.4391,0.72503,1.01313,5.95e-05,5.95e-05,5.95e-05
